Hour,Feature,Coefficient,AbsoluteCoefficient,Rank
Hour_1,pm2.5,8.286200196741998,8.286200196741998,1
Hour_1,pm2.5 PRES,1.350892160069722,1.350892160069722,2
Hour_1,DEWP Is,-0.9269018003925085,0.9269018003925085,3
Hour_1,DEWP,0.910592920775717,0.910592920775717,4
Hour_1,pm2.5^2,-0.8867505072940679,0.8867505072940679,5
Hour_1,pm2.5 Iws,0.8171184879343477,0.8171184879343477,6
Hour_1,cbwd_SE,0.7777143690425603,0.7777143690425603,7
Hour_1,PRES,0.7579035461080402,0.7579035461080402,8
Hour_1,cbwd_cv,0.6570696341733545,0.6570696341733545,9
Hour_1,Ir,-0.6318608843433999,0.6318608843433999,10
Hour_1,DEWP Ir,0.6196740045021578,0.6196740045021578,11
Hour_1,pm2.5 DEWP,0.6140714105956624,0.6140714105956624,12
Hour_1,pm2.5 TEMP,0.5254772450347049,0.5254772450347049,13
Hour_1,Is,-0.5210777713987738,0.5210777713987738,14
Hour_1,hour pm2.5,-0.3857459860869625,0.3857459860869625,15
Hour_1,cbwd_NW,-0.3715871855580967,0.3715871855580967,16
Hour_1,Iws,0.3477441879819449,0.3477441879819449,17
Hour_1,hour DEWP,-0.3431614292499403,0.3431614292499403,18
Hour_1,TEMP Iws,0.3096452190597757,0.3096452190597757,19
Hour_1,cbwd_NE,-0.3034117026408374,0.3034117026408374,20
Hour_1,DEWP TEMP,0.30295884459760236,0.30295884459760236,21
Hour_1,day pm2.5,0.28446700636580624,0.28446700636580624,22
Hour_1,DEWP Iws,-0.2748075321312617,0.2748075321312617,23
Hour_1,DEWP PRES,0.2692155645350723,0.2692155645350723,24
Hour_1,TEMP,-0.26768719478133735,0.26768719478133735,25
Hour_1,PRES Ir,0.2506173500794161,0.2506173500794161,26
Hour_1,TEMP PRES,-0.23195907914159894,0.23195907914159894,27
Hour_1,PRES Is,-0.2107632994371103,0.2107632994371103,28
Hour_1,TEMP^2,-0.1923769639884407,0.1923769639884407,29
Hour_1,pm2.5 Ir,-0.1705480439480248,0.1705480439480248,30
Hour_1,day Is,0.16079543177530803,0.16079543177530803,31
Hour_1,DEWP^2,0.14548609331591514,0.14548609331591514,32
Hour_1,day,0.13769786710135992,0.13769786710135992,33
Hour_1,month pm2.5,0.13721462320844746,0.13721462320844746,34
Hour_1,TEMP Ir,-0.13013606146566128,0.13013606146566128,35
Hour_1,TEMP Is,-0.1280317073360677,0.1280317073360677,36
Hour_1,month,-0.1129741415326164,0.1129741415326164,37
Hour_1,Is Ir,0.11196067435434538,0.11196067435434538,38
Hour_1,hour Is,0.10861108446082113,0.10861108446082113,39
Hour_1,hour,-0.10637124801154377,0.10637124801154377,40
Hour_1,PRES^2,-0.10441611174823723,0.10441611174823723,41
Hour_1,month hour,0.10213762818016611,0.10213762818016611,42
Hour_1,month Ir,-0.1013083013031594,0.1013083013031594,43
Hour_1,month Is,-0.10024567330193639,0.10024567330193639,44
Hour_1,month PRES,0.09445038530771066,0.09445038530771066,45
Hour_1,month DEWP,-0.09280921781275908,0.09280921781275908,46
Hour_1,PRES Iws,0.0857130688979043,0.0857130688979043,47
Hour_1,day DEWP,-0.08564885196988878,0.08564885196988878,48
Hour_1,month^2,-0.07709463830023452,0.07709463830023452,49
Hour_1,month day,0.07349515653036126,0.07349515653036126,50
Hour_1,hour PRES,-0.0691222155371471,0.0691222155371471,51
Hour_1,month Iws,0.06677247906456163,0.06677247906456163,52
Hour_1,hour TEMP,0.06498434704938186,0.06498434704938186,53
Hour_1,hour Ir,-0.0576299174328375,0.0576299174328375,54
Hour_1,month TEMP,0.05498821491174513,0.05498821491174513,55
Hour_1,day Iws,0.049963488612315914,0.049963488612315914,56
Hour_1,hour Iws,-0.04381090220214671,0.04381090220214671,57
Hour_1,hour^2,-0.042378248352283564,0.042378248352283564,58
Hour_1,day Ir,0.0378236275837226,0.0378236275837226,59
Hour_1,Iws Ir,0.037762821299279443,0.037762821299279443,60
Hour_1,day PRES,-0.03595844483125926,0.03595844483125926,61
Hour_1,Is^2,0.03209378536928824,0.03209378536928824,62
Hour_1,pm2.5 Is,0.02637772862686366,0.02637772862686366,63
Hour_1,day TEMP,0.0074939123487762944,0.0074939123487762944,64
Hour_1,Iws^2,0.006876596572540482,0.006876596572540482,65
Hour_1,day hour,0.004282496637985286,0.004282496637985286,66
Hour_1,Ir^2,-0.004131508189189599,0.004131508189189599,67
Hour_1,Iws Is,-0.003196880173929672,0.003196880173929672,68
Hour_1,day^2,-0.0017559763005976668,0.0017559763005976668,69
Hour_2,pm2.5,5.0578512307084305,5.0578512307084305,1
Hour_2,pm2.5 Iws,1.1961878873609957,1.1961878873609957,2
Hour_2,cbwd_SE,1.0950199805893581,1.0950199805893581,3
Hour_2,cbwd_cv,1.0133929620412891,1.0133929620412891,4
Hour_2,DEWP Is,-0.8809658326005868,0.8809658326005868,5
Hour_2,pm2.5 PRES,0.8248655370998867,0.8248655370998867,6
Hour_2,DEWP,0.6901866332977664,0.6901866332977664,7
Hour_2,pm2.5^2,-0.6176316787197205,0.6176316787197205,8
Hour_2,Is,-0.6022817636309379,0.6022817636309379,9
Hour_2,TEMP Is,-0.5754766260222471,0.5754766260222471,10
Hour_2,Iws,0.5440151431249423,0.5440151431249423,11
Hour_2,pm2.5 TEMP,0.5104948893656172,0.5104948893656172,12
Hour_2,Ir,-0.4974533537199699,0.4974533537199699,13
Hour_2,hour DEWP,-0.47621720252739047,0.47621720252739047,14
Hour_2,PRES,0.42876972670026686,0.42876972670026686,15
Hour_2,TEMP,-0.394072539800855,0.394072539800855,16
Hour_2,hour pm2.5,-0.3851537911262433,0.3851537911262433,17
Hour_2,day pm2.5,0.3561059894891017,0.3561059894891017,18
Hour_2,DEWP TEMP,0.35404935907564156,0.35404935907564156,19
Hour_2,DEWP PRES,0.3282365030437798,0.3282365030437798,20
Hour_2,hour Is,0.28196627564885945,0.28196627564885945,21
Hour_2,DEWP Ir,0.28156326499668766,0.28156326499668766,22
Hour_2,TEMP^2,-0.27592003037258284,0.27592003037258284,23
Hour_2,PRES Is,-0.2712180178418881,0.2712180178418881,24
Hour_2,TEMP Iws,0.26529517002721426,0.26529517002721426,25
Hour_2,cbwd_NW,-0.26509453642020664,0.26509453642020664,26
Hour_2,month,-0.2557040094402663,0.2557040094402663,27
Hour_2,DEWP Iws,-0.2514578675094946,0.2514578675094946,28
Hour_2,TEMP PRES,-0.24808348786481838,0.24808348786481838,29
Hour_2,DEWP^2,0.24748146979473024,0.24748146979473024,30
Hour_2,pm2.5 Is,0.22378149943632025,0.22378149943632025,31
Hour_2,PRES Ir,0.20849297276658144,0.20849297276658144,32
Hour_2,hour TEMP,0.20495395140763387,0.20495395140763387,33
Hour_2,day,0.16190784382605272,0.16190784382605272,34
Hour_2,day Is,0.14723329727892837,0.14723329727892837,35
Hour_2,PRES^2,-0.13170391588619165,0.13170391588619165,36
Hour_2,pm2.5 Ir,-0.1272685622345271,0.1272685622345271,37
Hour_2,month hour,0.1257136722956626,0.1257136722956626,38
Hour_2,month DEWP,-0.11629016879954242,0.11629016879954242,39
Hour_2,month PRES,0.11625798609418692,0.11625798609418692,40
Hour_2,hour Iws,-0.11603261219134771,0.11603261219134771,41
Hour_2,Iws Is,0.11147506545689925,0.11147506545689925,42
Hour_2,Is Ir,0.10194764333566218,0.10194764333566218,43
Hour_2,day DEWP,-0.09567854098033636,0.09567854098033636,44
Hour_2,hour Ir,-0.0907045195432196,0.0907045195432196,45
Hour_2,TEMP Ir,0.08844157952201293,0.08844157952201293,46
Hour_2,month Ir,-0.07911387053470306,0.07911387053470306,47
Hour_2,month day,0.07759969260162211,0.07759969260162211,48
Hour_2,pm2.5 DEWP,-0.07742304959149526,0.07742304959149526,49
Hour_2,hour^2,-0.07535884868238416,0.07535884868238416,50
Hour_2,hour PRES,-0.06846277522825915,0.06846277522825915,51
Hour_2,Iws Ir,-0.06654888801563247,0.06654888801563247,52
Hour_2,day TEMP,0.05900106537316137,0.05900106537316137,53
Hour_2,cbwd_NE,-0.05497916980215132,0.05497916980215132,54
Hour_2,day Iws,0.0537715903191078,0.0537715903191078,55
Hour_2,month Iws,0.05352303945648457,0.05352303945648457,56
Hour_2,Iws^2,0.03247546671266042,0.03247546671266042,57
Hour_2,month Is,-0.027320043755032324,0.027320043755032324,58
Hour_2,Is^2,0.02127289982883212,0.02127289982883212,59
Hour_2,day Ir,0.021030267629819244,0.021030267629819244,60
Hour_2,month TEMP,0.019507755840116825,0.019507755840116825,61
Hour_2,day PRES,0.01812460739159268,0.01812460739159268,62
Hour_2,month^2,-0.01797162740482907,0.01797162740482907,63
Hour_2,hour,-0.014079305291194175,0.014079305291194175,64
Hour_2,month pm2.5,0.007481498444694991,0.007481498444694991,65
Hour_2,day hour,-0.007448469335155835,0.007448469335155835,66
Hour_2,day^2,-0.00248910754803631,0.00248910754803631,67
Hour_2,Ir^2,0.00187692715778279,0.00187692715778279,68
Hour_2,PRES Iws,-0.0009350451886589945,0.0009350451886589945,69
Hour_3,pm2.5,3.5028776072189696,3.5028776072189696,1
Hour_3,cbwd_SE,1.0529065370699986,1.0529065370699986,2
Hour_3,DEWP Is,-0.8968903283016022,0.8968903283016022,3
Hour_3,cbwd_cv,0.8235708498727776,0.8235708498727776,4
Hour_3,pm2.5 Iws,0.6204740143022304,0.6204740143022304,5
Hour_3,DEWP,0.6131892869843972,0.6131892869843972,6
Hour_3,hour DEWP,-0.5865863715603291,0.5865863715603291,7
Hour_3,pm2.5 TEMP,0.5818606764427753,0.5818606764427753,8
Hour_3,pm2.5^2,-0.568716137675305,0.568716137675305,9
Hour_3,pm2.5 DEWP,-0.4890168212628675,0.4890168212628675,10
Hour_3,Ir,-0.472180159248466,0.472180159248466,11
Hour_3,cbwd_NW,-0.4391486477516066,0.4391486477516066,12
Hour_3,hour TEMP,0.42600821158148217,0.42600821158148217,13
