Hour,Feature,Importance,Rank
Hour_1,pm2.5,0.6651653207968934,1
Hour_1,DEWP,0.07531159062759168,2
Hour_1,cbwd_NW,0.06644290974691845,3
Hour_1,Iws,0.0621397476765766,4
Hour_1,cbwd_SE,0.027114655759603062,5
Hour_1,PRES,0.025403925929109276,6
Hour_1,TEMP,0.02496139418612943,7
Hour_1,hour,0.012775490055401932,8
Hour_1,month,0.011829705264108557,9
Hour_1,day,0.011714305919372914,10
Hour_1,cbwd_cv,0.006809347492630161,11
Hour_1,cbwd_NE,0.006223607460570234,12
Hour_1,Ir,0.003129701632021498,13
Hour_1,Is,0.0009782974530727932,14
Hour_2,pm2.5,0.5254056723740456,1
Hour_2,Iws,0.08719325139415798,2
Hour_2,DEWP,0.08355130011417118,3
Hour_2,cbwd_NW,0.05761561729172976,4
Hour_2,PRES,0.04864064041245632,5
Hour_2,TEMP,0.04624551073712189,6
Hour_2,day,0.03803728713265514,7
Hour_2,hour,0.036759052575914705,8
Hour_2,cbwd_SE,0.027257508298932708,9
Hour_2,month,0.024099957368546625,10
Hour_2,cbwd_NE,0.009270713401283156,11
Hour_2,cbwd_cv,0.008839487176463328,12
Hour_2,Ir,0.005704618410020907,13
Hour_2,Is,0.0013793833125006307,14
Hour_3,pm2.5,0.45619954828619075,1
Hour_3,Iws,0.0913506138650774,2
Hour_3,DEWP,0.09087808425671921,3
Hour_3,cbwd_NW,0.06417106120286739,4
Hour_3,PRES,0.058765371332644735,5
Hour_3,TEMP,0.054588714212352625,6
Hour_3,day,0.04774600492693744,7
Hour_3,hour,0.04618959350432155,8
Hour_3,cbwd_SE,0.03373422294209954,9
Hour_3,month,0.028639931428459622,10
Hour_3,cbwd_cv,0.009761308123747292,11
Hour_3,cbwd_NE,0.009655459715223278,12
Hour_3,Ir,0.006629682504713269,13
Hour_3,Is,0.0016904036986459716,14
Hour_4,pm2.5,0.40405914373187124,1
Hour_4,Iws,0.10111491922328737,2
Hour_4,DEWP,0.09450285280681085,3
Hour_4,cbwd_NW,0.06775489194822389,4
Hour_4,PRES,0.06530554795412452,5
Hour_4,TEMP,0.06076031996236212,6
Hour_4,day,0.05643965088632356,7
Hour_4,hour,0.05339192552255588,8
Hour_4,cbwd_SE,0.03561081522594651,9
Hour_4,month,0.03219759085262003,10
Hour_4,cbwd_NE,0.010121522299728878,11
Hour_4,cbwd_cv,0.010002491266627816,12
Hour_4,Ir,0.006852773153614189,13
Hour_4,Is,0.0018855551659031431,14
Hour_5,pm2.5,0.36165862027081574,1
Hour_5,Iws,0.0997340823271084,2
Hour_5,DEWP,0.09803415975544855,3
Hour_5,cbwd_NW,0.07800746731616433,4
Hour_5,PRES,0.0707149878050247,5
Hour_5,TEMP,0.06618083492322308,6
Hour_5,day,0.064100857076539,7
Hour_5,hour,0.0598624733287313,8
Hour_5,cbwd_SE,0.03708730674428861,9
Hour_5,month,0.03492344352814918,10
Hour_5,cbwd_NE,0.010075908924715292,11
Hour_5,cbwd_cv,0.010026654783850343,12
Hour_5,Ir,0.0077721211431412765,13
Hour_5,Is,0.0018210820728002033,14
Hour_6,pm2.5,0.33486394886702975,1
Hour_6,Iws,0.1036428402510153,2
Hour_6,DEWP,0.09715631890852738,3
Hour_6,PRES,0.07517480311768829,4
Hour_6,day,0.0713999901881946,5
Hour_6,cbwd_NW,0.07079963879618625,6
Hour_6,TEMP,0.0692619155336945,7
Hour_6,hour,0.06614178175260768,8
Hour_6,cbwd_SE,0.04211443802558765,9
Hour_6,month,0.03826563840326548,10
Hour_6,cbwd_cv,0.011109811817568834,11
Hour_6,cbwd_NE,0.009669019844077,12
Hour_6,Ir,0.008496675094833782,13
Hour_6,Is,0.0019031793997234957,14
Hour_7,pm2.5,0.29996214032164903,1
Hour_7,Iws,0.10760359750294952,2
Hour_7,DEWP,0.09941773713796453,3
Hour_7,PRES,0.08061716986177037,4
Hour_7,day,0.07691611869072748,5
Hour_7,TEMP,0.07520093869581984,6
Hour_7,cbwd_NW,0.07408846673644529,7
Hour_7,hour,0.07074194645546511,8
Hour_7,month,0.04221352209521342,9
Hour_7,cbwd_SE,0.04143659162671552,10
Hour_7,cbwd_cv,0.011251905240035004,11
Hour_7,cbwd_NE,0.009740622749215864,12
Hour_7,Ir,0.008697276552807364,13
Hour_7,Is,0.0021119663332215886,14
Hour_8,pm2.5,0.277836929297589,1
Hour_8,Iws,0.11104412577268215,2
Hour_8,DEWP,0.1025637434681897,3
Hour_8,PRES,0.08574632877139526,4
Hour_8,day,0.08363398797478756,5
Hour_8,TEMP,0.07972543106939081,6
Hour_8,hour,0.075463823876966,7
Hour_8,cbwd_NW,0.06760033584649462,8
Hour_8,month,0.044805860008694465,9
Hour_8,cbwd_SE,0.041492133356422024,10
Hour_8,cbwd_cv,0.0105722445615178,11
Hour_8,cbwd_NE,0.009010829264792266,12
Hour_8,Ir,0.008456843160157499,13
Hour_8,Is,0.002047383570920898,14
Hour_9,pm2.5,0.2634057916342493,1
Hour_9,Iws,0.11195972402476945,2
Hour_9,DEWP,0.10365899759736331,3
Hour_9,day,0.08811586852845076,4
Hour_9,PRES,0.08719735639794204,5
Hour_9,TEMP,0.08253748210632376,6
Hour_9,hour,0.07818160160537281,7
Hour_9,cbwd_NW,0.06755268137456384,8
Hour_9,month,0.04674830450520073,9
Hour_9,cbwd_SE,0.04084566644769711,10
Hour_9,cbwd_cv,0.009640507450136098,11
Hour_9,Ir,0.009128694012214887,12
Hour_9,cbwd_NE,0.009010001805642374,13
Hour_9,Is,0.002017322510073484,14
Hour_10,pm2.5,0.24359760683592288,1
Hour_10,Iws,0.11198319500899548,2
Hour_10,DEWP,0.10579383793450603,3
Hour_10,day,0.09468925412848353,4
Hour_10,PRES,0.09294469119908,5
Hour_10,TEMP,0.08755954125163108,6
Hour_10,hour,0.08231723304268933,7
Hour_10,cbwd_NW,0.06405390006934053,8
Hour_10,month,0.048803799527678375,9
Hour_10,cbwd_SE,0.03783798605639279,10
Hour_10,cbwd_cv,0.010385002314621812,11
Hour_10,Ir,0.00935057840695516,12
Hour_10,cbwd_NE,0.008685764119702238,13
Hour_10,Is,0.0019976101040007923,14
Hour_11,pm2.5,0.234424377231693,1
Hour_11,Iws,0.1123766730789361,2
Hour_11,DEWP,0.10735722771355016,3
Hour_11,day,0.09802574934978986,4
Hour_11,PRES,0.09523414688562064,5
Hour_11,TEMP,0.09041045231792086,6
Hour_11,hour,0.08609248704998446,7
Hour_11,cbwd_NW,0.06133801279384889,8
Hour_11,month,0.04970709731560589,9
Hour_11,cbwd_SE,0.03548825151652013,10
Hour_11,Ir,0.009371059489939151,11
Hour_11,cbwd_cv,0.009150379839721357,12
Hour_11,cbwd_NE,0.008972233339515969,13
Hour_11,Is,0.0020518520773536255,14
Hour_12,pm2.5,0.2251805416871781,1
Hour_12,Iws,0.11253145651851514,2
Hour_12,DEWP,0.10756204124960242,3
Hour_12,day,0.10272504688524071,4
Hour_12,PRES,0.09824802151590488,5
Hour_12,TEMP,0.09366619545773185,6
Hour_12,hour,0.08936575788114162,7
Hour_12,cbwd_NW,0.059697611326944997,8
Hour_12,month,0.0514909823157312,9
Hour_12,cbwd_SE,0.03175302510998998,10
Hour_12,Ir,0.008951271633501458,11
Hour_12,cbwd_NE,0.00853869034225509,12
Hour_12,cbwd_cv,0.00820066633958685,13
Hour_12,Is,0.002088691736675834,14
