Hour,Feature,Importance,Rank
Hour_1,pm2.5,0.49930674,1
Hour_1,cbwd_NW,0.18753858,2
Hour_1,cbwd_NE,0.074937925,3
Hour_1,cbwd_SE,0.059630524,4
Hour_1,cbwd_cv,0.03800536,5
Hour_1,DEWP,0.03453942,6
Hour_1,Iws,0.027974045,7
Hour_1,month,0.018574111,8
Hour_1,TEMP,0.017979823,9
Hour_1,PRES,0.012303794,10
Hour_1,hour,0.010265969,11
Hour_1,Ir,0.008904384,12
Hour_1,day,0.007613897,13
Hour_1,Is,0.002425502,14
Hour_2,pm2.5,0.37345183,1
Hour_2,cbwd_NW,0.25344867,2
Hour_2,cbwd_NE,0.08482227,3
Hour_2,cbwd_SE,0.07176474,4
Hour_2,DEWP,0.034008678,5
Hour_2,cbwd_cv,0.032557037,6
Hour_2,Iws,0.029430848,7
Hour_2,month,0.022337439,8
Hour_2,TEMP,0.020690186,9
Hour_2,Ir,0.018729085,10
Hour_2,PRES,0.01757466,11
Hour_2,hour,0.016420526,12
Hour_2,day,0.014347426,13
Hour_2,Is,0.010416594,14
Hour_3,pm2.5,0.27297014,1
Hour_3,cbwd_NW,0.2712502,2
Hour_3,cbwd_NE,0.10400923,3
Hour_3,cbwd_SE,0.08808979,4
Hour_3,cbwd_cv,0.03815035,5
Hour_3,DEWP,0.031933885,6
Hour_3,Iws,0.02969949,7
Hour_3,month,0.028585764,8
Hour_3,Ir,0.028315267,9
Hour_3,TEMP,0.024202246,10
Hour_3,hour,0.023203375,11
Hour_3,PRES,0.023014802,12
Hour_3,day,0.020523708,13
Hour_3,Is,0.016051717,14
Hour_4,cbwd_NW,0.2695025,1
Hour_4,pm2.5,0.24707198,2
Hour_4,cbwd_SE,0.10783475,3
Hour_4,cbwd_NE,0.101450056,4
Hour_4,cbwd_cv,0.038939714,5
Hour_4,Iws,0.036029834,6
Hour_4,DEWP,0.030208964,7
Hour_4,Ir,0.028601905,8
Hour_4,month,0.027942881,9
Hour_4,hour,0.026731722,10
Hour_4,PRES,0.024221139,11
Hour_4,TEMP,0.02370624,12
Hour_4,day,0.0229936,13
Hour_4,Is,0.014764718,14
Hour_5,pm2.5,0.2826665,1
Hour_5,cbwd_NW,0.20884274,2
Hour_5,cbwd_SE,0.121829495,3
Hour_5,cbwd_NE,0.05472848,4
Hour_5,cbwd_cv,0.04575209,5
Hour_5,DEWP,0.036799304,6
Hour_5,hour,0.036141705,7
Hour_5,Ir,0.035305563,8
Hour_5,month,0.033525515,9
Hour_5,Iws,0.033434734,10
Hour_5,day,0.030891197,11
Hour_5,PRES,0.030755153,12
Hour_5,TEMP,0.030730465,13
Hour_5,Is,0.018597113,14
Hour_6,cbwd_NW,0.30515763,1
Hour_6,pm2.5,0.16617885,2
Hour_6,cbwd_SE,0.13009255,3
Hour_6,cbwd_NE,0.11494841,4
Hour_6,cbwd_cv,0.046442468,5
Hour_6,Iws,0.03400464,6
Hour_6,DEWP,0.029599238,7
Hour_6,hour,0.028413218,8
Hour_6,month,0.02818494,9
Hour_6,Ir,0.027149819,10
Hour_6,PRES,0.025502883,11
Hour_6,day,0.02387174,12
Hour_6,TEMP,0.023654249,13
Hour_6,Is,0.016799293,14
Hour_7,pm2.5,0.22378267,1
Hour_7,cbwd_NW,0.20068742,2
Hour_7,cbwd_SE,0.16751938,3
Hour_7,cbwd_NE,0.045057,4
Hour_7,cbwd_cv,0.042964283,5
Hour_7,hour,0.040461984,6
Hour_7,Ir,0.03959218,7
Hour_7,month,0.039303854,8
Hour_7,Iws,0.038524657,9
Hour_7,DEWP,0.038163327,10
Hour_7,PRES,0.03565448,11
Hour_7,day,0.035218786,12
Hour_7,TEMP,0.033445936,13
Hour_7,Is,0.019624053,14
Hour_8,cbwd_NW,0.2882795,1
Hour_8,pm2.5,0.18728565,2
Hour_8,cbwd_SE,0.13302717,3
Hour_8,cbwd_NE,0.046040133,4
Hour_8,cbwd_cv,0.040174674,5
Hour_8,month,0.038966216,6
Hour_8,hour,0.038567048,7
Hour_8,Ir,0.0378146,8
Hour_8,DEWP,0.035535447,9
Hour_8,Iws,0.03508237,10
Hour_8,day,0.03316383,11
Hour_8,PRES,0.033020277,12
Hour_8,TEMP,0.032209884,13
Hour_8,Is,0.020833107,14
Hour_9,cbwd_NW,0.26951998,1
Hour_9,pm2.5,0.17283472,2
Hour_9,cbwd_SE,0.14649352,3
Hour_9,cbwd_NE,0.050346274,4
Hour_9,hour,0.044485867,5
Hour_9,Ir,0.042145927,6
Hour_9,month,0.041056078,7
Hour_9,DEWP,0.039699234,8
Hour_9,Iws,0.038158294,9
Hour_9,day,0.037440818,10
Hour_9,PRES,0.035811204,11
Hour_9,TEMP,0.03329577,12
Hour_9,cbwd_cv,0.030372467,13
Hour_9,Is,0.018339768,14
Hour_10,cbwd_NW,0.24443015,1
Hour_10,cbwd_SE,0.18560493,2
Hour_10,pm2.5,0.15838437,3
Hour_10,cbwd_NE,0.04909468,4
Hour_10,Ir,0.043361314,5
Hour_10,hour,0.042749055,6
Hour_10,month,0.040735688,7
Hour_10,Iws,0.038952835,8
Hour_10,DEWP,0.038457688,9
Hour_10,day,0.038107328,10
Hour_10,PRES,0.035718605,11
Hour_10,TEMP,0.034605384,12
Hour_10,cbwd_cv,0.030718781,13
Hour_10,Is,0.019079229,14
Hour_11,cbwd_NW,0.26530367,1
Hour_11,cbwd_SE,0.17317566,2
Hour_11,pm2.5,0.14230688,3
Hour_11,cbwd_NE,0.05057838,4
Hour_11,hour,0.043894757,5
Hour_11,month,0.043637004,6
Hour_11,DEWP,0.04248085,7
Hour_11,Iws,0.039231997,8
Hour_11,PRES,0.038305204,9
Hour_11,TEMP,0.03818888,10
Hour_11,day,0.038110483,11
Hour_11,Ir,0.03804645,12
Hour_11,cbwd_cv,0.026327807,13
Hour_11,Is,0.020411925,14
Hour_12,cbwd_NW,0.24185552,1
Hour_12,cbwd_SE,0.15363604,2
Hour_12,pm2.5,0.14553556,3
Hour_12,cbwd_NE,0.06406542,4
Hour_12,hour,0.049026377,5
Hour_12,month,0.047826372,6
Hour_12,DEWP,0.045577638,7
Hour_12,day,0.041833542,8
Hour_12,PRES,0.040939894,9
Hour_12,TEMP,0.04093241,10
Hour_12,Iws,0.04087453,11
Hour_12,Ir,0.039252687,12
Hour_12,cbwd_cv,0.028051287,13
Hour_12,Is,0.020592723,14
